# r= r1-r2
# r 	 cluster 	 pieper 	 GFMC 		 GD
7.94 	-0.000132915 	0 		-7.5436e-21 	-2.17798e-50
7.96 	-0.000130283 	0 		-6.0188e-21 	-1.11332e-50
7.98 	-0.000127703 	0 		-4.79949e-21 	-5.67958e-51
8 	-0.000125175 	0 		-3.82501e-21 	-2.89164e-51
8.02 	-0.000122696 	0 		-3.04666e-21 	-1.46928e-51
8.04 	-0.000120266 	0 		-2.42532e-21 	-7.45064e-52
8.06 	-0.000117885 	0 		-1.9296e-21 	-3.77064e-52
8.08 	-0.000115551 	0 		-1.53433e-21 	-1.90445e-52
8.1 	-0.000113263 	0 		-1.21933e-21 	-9.5996e-53
8.12 	-0.00011102 	0 		-9.68455e-22 	-4.82913e-53
